album,artist,duration,playlist,title
Greatest Hits,Bon Jovi,3:43,ye olde jáms,You Give Love A Bad Name
The Best Of - 20 Years Of Rock,Poison,4:20,ye olde jáms,Every Rose Has Its Thorn (Remastered 2003)
Greatest Hits,Mötley Crüe,4:00,ye olde jáms,Home Sweet Home
Greatest Hits,Mötley Crüe,4:51,ye olde jáms,Dr. Feelgood
Greatest Hits,Billy Idol,4:12,ye olde jáms,White Wedding - Part 1 (2001- Remaster)
Kiss: The Box Set,Kiss,2:46,ye olde jáms,Rock And Roll All Nite
Let's Get It On,Marvin Gaye,4:51,ye olde jáms,Let's Get It On
The Best Of Kansas,Kansas,5:21,ye olde jáms,Carry On Wayward Son
The Future Starts Here: The Essential Doors Hits,The Doors,6:58,ye olde jáms,Light My Fire
Greatest Hits,Boston,4:45,ye olde jáms,More Than a Feeling
Greatest Hits,Journey,4:09,ye olde jáms,Don't Stop Believin'
